LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)	px(MeV)	py(MeV)	pz(MeV)
19	0	0	-100000	0	0	0	0
0	1762.82	0.0109282	90000	7.53223e+06	1.30767e+06	-6.90765	-7.41796e+06
1	3525.74	0.0336832	80000	7.46335e+06	1.29586e+06	94.6097	-7.3501e+06
2	5288.74	0.125633	70000	7.44031e+06	1.29185e+06	97.3058	-7.3274e+06
3	7051.77	0.110942	60000	7.419e+06	1.2882e+06	-12.8638	-7.30641e+06
4	8814.83	0.224558	50000	7.37976e+06	1.28127e+06	201.716	-7.26778e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.67	0.198793	90000	7.49991e+06	1.30185e+06	348.51	-7.38616e+06
1	3525.07	0.693149	80000	7.48201e+06	1.29852e+06	456.897	-7.36857e+06
2	5287.37	1.17078	70000	7.45459e+06	1.29386e+06	280.65	-7.34155e+06
3	7049.81	1.46004	60000	7.43791e+06	1.29102e+06	232.733	-7.32512e+06
4	8812.19	1.86348	50000	7.42533e+06	1.28871e+06	427.492	-7.31276e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.89	0.109379	90000	7.49163e+06	1.30065e+06	46.3467	-7.37797e+06
1	3525.68	0.233175	80000	7.48479e+06	1.29931e+06	137.474	-7.37126e+06
2	5288.46	0.486594	70000	7.47369e+06	1.29752e+06	88.1201	-7.3603e+06
3	7051.24	0.527743	60000	7.34187e+06	1.27451e+06	-94.6748	-7.2305e+06
4	8813.96	0.431778	50000	7.3125e+06	1.26928e+06	80.5882	-7.20161e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.91	0.0653439	90000	7.53526e+06	1.3082e+06	-18.3996	-7.42094e+06
1	3525.8	-0.0359607	80000	7.52425e+06	1.30643e+06	-42.8813	-7.41007e+06
2	5288.66	-0.0567243	70000	7.4768e+06	1.29799e+06	114.16	-7.36338e+06
3	7051.42	0.287187	60000	7.4094e+06	1.28633e+06	502.85	-7.29699e+06
4	8814.24	0.752301	50000	7.395e+06	1.28383e+06	272.609	-7.28282e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.82	-0.0417736	90000	7.54736e+06	1.31029e+06	-135.433	-7.43286e+06
1	3525.61	-0.349741	80000	7.5315e+06	1.30741e+06	-344.113	-7.41726e+06
2	5288.37	-0.770415	70000	7.49987e+06	1.30204e+06	-384.337	-7.38609e+06
3	7050.94	-1.33554	60000	7.41001e+06	1.28613e+06	-444.943	-7.29765e+06
4	8813.45	-1.88338	50000	7.40148e+06	1.28481e+06	-341.128	-7.28922e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.95	0.0538563	90000	7.55161e+06	1.31117e+06	-57.0312	-7.43702e+06
1	3526.07	-0.100012	80000	7.53147e+06	1.30783e+06	-181.284	-7.41716e+06
2	5289.29	-0.240377	70000	7.49579e+06	1.30156e+06	-148.797	-7.38203e+06
3	7052.39	-0.471088	60000	7.47609e+06	1.29811e+06	-194.879	-7.36264e+06
4	8815.52	-0.758321	50000	7.45716e+06	1.29483e+06	-160.054	-7.34399e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.74	0.0863276	90000	7.52509e+06	1.30641e+06	69.2669	-7.41093e+06
1	3525.52	0.211819	80000	7.50903e+06	1.30354e+06	112.694	-7.39512e+06
2	5288.18	0.400165	70000	7.48129e+06	1.29872e+06	46.2101	-7.36781e+06
3	7050.7	0.31834	60000	7.42946e+06	1.28964e+06	-103.013	-7.31678e+06
4	8813.32	0.316079	50000	7.40752e+06	1.28588e+06	74.1998	-7.29517e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.7	0.0111328	90000	7.53758e+06	1.30846e+06	-19.4502	-7.42325e+06
1	3525.14	-0.0623764	80000	7.52873e+06	1.3067e+06	-117.934	-7.41457e+06
2	5287.39	-0.339328	70000	7.39549e+06	1.28354e+06	-215.867	-7.28336e+06
3	7049.68	-0.668641	60000	7.34383e+06	1.2746e+06	-340.217	-7.23248e+06
4	8812.28	-1.09493	50000	7.31232e+06	1.26937e+06	-358.787	-7.2014e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.92	0.110325	90000	7.47869e+06	1.29847e+06	112.447	-7.36521e+06
1	3525.93	0.33634	80000	7.42525e+06	1.28919e+06	231.584	-7.31258e+06
2	5288.92	0.50896	70000	7.37977e+06	1.28141e+06	81.035	-7.26777e+06
3	7052.23	0.807323	60000	7.36532e+06	1.27913e+06	280.003	-7.2535e+06
4	8815.74	1.21861	50000	7.27381e+06	1.26323e+06	331.596	-7.16338e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.75	0.019636	90000	7.54776e+06	1.31028e+06	103.392	-7.43326e+06
1	3525.63	0.112087	80000	7.52509e+06	1.30657e+06	99.5662	-7.4109e+06
2	5288.8	0.236044	70000	7.4971e+06	1.30196e+06	85.6083	-7.38329e+06
3	7052.24	0.267471	60000	7.4312e+06	1.29052e+06	6.95599	-7.31839e+06
4	8815.64	0.0811923	50000	7.42211e+06	1.28897e+06	-240.794	-7.30943e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.89	0.0937445	90000	7.48733e+06	1.29985e+06	103.64	-7.37375e+06
1	3525.78	0.0100467	80000	7.47752e+06	1.29828e+06	-160.727	-7.36406e+06
2	5288.66	-0.147953	70000	7.47102e+06	1.29695e+06	-200.246	-7.35769e+06
3	7051.51	-0.426429	60000	7.4366e+06	1.29115e+06	-164.242	-7.32377e+06
4	8814.52	-0.615772	50000	7.42136e+06	1.28863e+06	-100.998	-7.30873e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
