LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	24.2735	-71.0594	80000	76409.3
1	117.436	-267.341	60000	63482.4
2	164.976	-514.708	40000	49486.6
3	236.598	-787.133	20000	37283.8
4	403.899	-1132.47	0	26635.9
5	487.669	-1563.65	-20000	15083.6
6	759.771	-1778.56	-40000	2666.31
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-68.6591	-19.4773	80000	75405.2
1	-217.704	-47.1937	60000	62563.8
2	-379.488	-108.733	40000	48592.5
3	-512.832	-328.762	20000	34619.6
4	-612.086	-611.884	0	21489.7
5	-587.58	-687.712	-20000	10925.7
6	-420.817	85.2155	-40000	384.542
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	26.6731	-14.1661	80000	68533.1
1	167.62	-9.02515	60000	56890.8
2	291.163	-96.9704	40000	45897.5
3	437.005	-219.117	20000	34186.2
4	653.545	-415.004	0	22457.5
5	826.247	-355.333	-20000	8708.73
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	38.1963	7.4005	80000	74462.2
1	124.866	29.3071	60000	60672.3
2	274.985	46.4144	40000	44933.3
3	422.582	-72.0184	20000	22256.7
4	418.296	134.291	0	8738.54
5	0	0	-20000	0
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	32.6122	-1.83832	80000	73661.1
1	50.5823	18.6554	60000	57722.4
2	87.0884	31.7193	40000	42908.3
3	235.633	200.466	20000	30687.5
4	353.68	269.472	0	16286.6
5	646.41	42.5483	-20000	3424.91
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-20.3855	13.2675	80000	74216.6
1	-55.3141	66.974	60000	63541.5
2	-153.076	98.645	40000	51812.3
3	-215.232	60.7528	20000	37156.3
4	-192.744	-4.71502	0	25616
5	-296.273	-422.198	-20000	14081
6	-281.808	-473.441	-40000	3048.64
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-33.0602	10.1512	80000	67280.5
1	-16.4517	-60.637	60000	32267.7
2	6.10832	-14.9841	40000	18394.8
3	-304.642	353.639	20000	7640.4
4	0	0	0	0
5	0	0	-20000	0
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-18.2945	-43.1209	80000	75122.4
1	-42.9913	-145.422	60000	62094.3
2	-57.5713	-215.737	40000	50775.2
3	-12.5433	-199.037	20000	39551.5
4	48.3492	-77.5135	0	28698.7
5	175.594	118.453	-20000	17059.5
6	327.998	397.218	-40000	5111.34
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-51.6333	37.4484	80000	75428.6
1	-190.319	42.3253	60000	61426.9
2	-289.643	89.2814	40000	50025.2
3	-411.892	184.93	20000	37500.7
4	-527.606	391.532	0	26850.4
5	-631.82	556.754	-20000	11307.4
6	-669.458	282.683	-40000	644.479
